1037928|Jio|42502|SMS-MT|0|0|0|1136404|42504
1497862|Jio|42502|SMS-MO|0|0|0|1591175|42501
1805460|Jio|42502|SMS-MT|0|0|0|1210709|42504
1497537|Partner|42501|SMS-MO|0|0|0|1879213|42501
1800253|Partner|42501|GPRS|0|0|337||42504
1734886|Airtel|42503|MTC|267|0|0|1745539|42503
1127393|012|42504|MTC|260|0|0|1667172|42502
1342245|012|42504|GPRS|0|0|328||42501
1662306|Airtel|42503|SMS-MT|0|0|0|1355314|42501
1639955|Airtel|42503|GPRS|0|48|0||42500
1521571|Airtel|42503|SMS-MO|0|0|0|1998102|42502
1841766|012|42504|MTC|130|0|0|1448573|42500
1073637|Cellcom|42500|SMS-MO|0|0|0|1509276|42504
1785258|012|42504|MTC|143|0|0|1168122|42504
1474081|Airtel|42503|SMS-MO|0|0|0|1485460|42503
1480555|Jio|42502|SMS-MO|0|0|0|1917950|42502
1676385|Airtel|42503|SMS-MT|0|0|0|1149351|42503
1243134|Cellcom|42500|SMS-MO|0|0|0|1829826|42504
1541766|012|42504|GPRS|0|149|0||42503
1492485|012|42504|GPRS|0|104|0||42503
1147768|Partner|42501|SMS-MO|0|0|0|1083345|42504
1089015|Jio|42502|MOC|67|0|0|1710176|42500
1386409|Partner|42501|MTC|340|0|0|1789094|42501
1821151|Cellcom|42500|SMS-MO|0|0|0|1575895|42501
1776948|Jio|42502|SMS-MO|0|0|0|1145333|42500
1500368|Partner|42501|SMS-MO|0|0|0|1133978|42501
1273967|Cellcom|42500|MOC|62|0|0|1331223|42502
1673516|Cellcom|42500|GPRS|0|0|398||42502
1936342|012|42504|MOC|62|0|0|1918202|42501
1739608|Partner|42501|SMS-MO|0|0|0|1636819|42504
1888907|012|42504|MTC|220|0|0|1834207|42503
1602055|Jio|42502|MOC|97|0|0|1359803|42501
1251348|Partner|42501|SMS-MT|0|0|0|1205248|42500
1249406|Cellcom|42500|MOC|130|0|0|1317747|42503
1070031|Partner|42501|SMS-MT|0|0|0|1071389|42503
1476599|012|42504|MTC|288|0|0|1429878|42501
1675539|Partner|42501|SMS-MT|0|0|0|1499157|42500
1008883|Jio|42502|GPRS|0|298|0||42501
1765791|012|42504|MTC|335|0|0|1292639|42504
1249523|Jio|42502|MOC|113|0|0|1057840|42503
1475502|012|42504|SMS-MT|0|0|0|1385156|42504
1240991|012|42504|SMS-MO|0|0|0|1888798|42500
1226892|Jio|42502|SMS-MT|0|0|0|1410289|42504
1003770|Jio|42502|MOC|266|0|0|1658616|42503
1652928|Partner|42501|MOC|254|0|0|1196576|42503
1202104|012|42504|SMS-MO|0|0|0|1537756|42500
1867408|Jio|42502|SMS-MO|0|0|0|1320048|42503
1829626|Partner|42501|GPRS|0|54|0||42502
1614757|012|42504|SMS-MO|0|0|0|1743752|42501
1622131|012|42504|MTC|341|0|0|1592722|42502
1019735|Cellcom|42500|SMS-MT|0|0|0|1800785|42501
1233587|Partner|42501|MTC|97|0|0|1272049|42500
1064063|Jio|42502|SMS-MO|0|0|0|1059036|42501
1757515|Jio|42502|SMS-MT|0|0|0|1394216|42501
1309595|Cellcom|42500|GPRS|0|0|176||42500
1905979|Airtel|42503|GPRS|0|57|0||42501
1570034|Jio|42502|MTC|154|0|0|1883805|42504
1591910|012|42504|SMS-MT|0|0|0|1859444|42504
1916457|Cellcom|42500|SMS-MT|0|0|0|1008601|42502
1588957|012|42504|GPRS|0|157|0||42501
1593836|Airtel|42503|MTC|156|0|0|1655085|42502
1065492|Partner|42501|SMS-MT|0|0|0|1364675|42503
1959028|Partner|42501|GPRS|0|0|390||42503
1673552|Partner|42501|MOC|141|0|0|1378971|42501
1309287|Airtel|42503|SMS-MT|0|0|0|1073627|42500
1064473|Jio|42502|SMS-MT|0|0|0|1149031|42503
1733798|Partner|42501|MTC|144|0|0|1742078|42504
1407261|012|42504|GPRS|0|0|170||42501
1960385|Cellcom|42500|MTC|285|0|0|1451676|42503
1430163|012|42504|MOC|302|0|0|1789892|42501
1937973|Airtel|42503|MTC|274|0|0|1027790|42504
1000175|Airtel|42503|SMS-MT|0|0|0|1054124|42503
1722061|Jio|42502|GPRS|0|0|399||42501
